individual,fitness values
[6, 6, 6, 6, 3, 2, 6, 6, 7, 7, 4, 5, 3, 1, 6, 6, 7, 4, 3, 3, 3, 1, 6, 7, 3, 3, 3, 7, 5, 7, 7, 3, 3, 7, 5, 3],[340.000000,628.000000,34375.000000]
[5, 6, 5, 5, 5, 3, 3, 5, 6, 7, 3, 7, 3, 3, 7, 7, 7, 7, 7, 2, 2, 5, 7, 7, 2, 3, 3, 7, 7, 3, 3, 1, 3, 7, 6, 6],[316.000000,657.000000,33750.000000]
[6, 6, 6, 6, 3, 2, 6, 6, 7, 7, 5, 6, 2, 3, 6, 7, 7, 7, 2, 2, 2, 5, 7, 7, 2, 3, 3, 7, 5, 7, 7, 3, 3, 7, 5, 3],[356.000000,664.000000,31250.000000]
[5, 6, 6, 6, 5, 3, 3, 5, 6, 7, 3, 7, 7, 7, 6, 7, 7, 7, 7, 2, 3, 1, 7, 7, 3, 3, 3, 7, 5, 6, 2, 3, 3, 7, 5, 3],[314.000000,660.000000,36875.000000]
[6, 6, 6, 6, 3, 3, 3, 5, 6, 7, 3, 7, 7, 7, 6, 7, 7, 7, 7, 2, 3, 1, 7, 7, 3, 3, 3, 7, 5, 3, 6, 6, 3, 7, 5, 3],[310.000000,648.000000,39375.000000]
[5, 6, 5, 5, 5, 3, 3, 5, 6, 7, 3, 7, 3, 3, 7, 7, 7, 7, 7, 2, 2, 5, 7, 7, 2, 3, 3, 7, 7, 3, 3, 1, 2, 7, 6, 6],[326.000000,662.000000,31875.000000]
[5, 6, 6, 6, 5, 3, 3, 5, 6, 7, 3, 7, 2, 3, 7, 7, 7, 7, 3, 3, 3, 7, 3, 6, 3, 3, 3, 7, 7, 7, 7, 3, 3, 7, 5, 3],[332.000000,652.000000,38750.000000]
[5, 6, 5, 6, 6, 3, 3, 5, 6, 7, 3, 7, 7, 7, 6, 7, 7, 7, 7, 2, 3, 1, 7, 7, 3, 3, 3, 7, 5, 6, 2, 3, 3, 7, 5, 3],[310.000000,662.000000,36875.000000]
[5, 6, 5, 5, 5, 3, 3, 5, 6, 7, 3, 5, 2, 3, 7, 7, 7, 7, 7, 2, 3, 1, 7, 7, 3, 3, 3, 7, 5, 3, 6, 6, 3, 7, 5, 3],[320.000000,653.000000,35625.000000]
[5, 6, 3, 3, 2, 1, 3, 7, 6, 7, 3, 6, 7, 7, 6, 7, 7, 6, 7, 2, 3, 1, 7, 7, 3, 3, 3, 7, 5, 3, 3, 3, 3, 7, 5, 3],[296.000000,642.000000,42500.000000]
[5, 6, 6, 6, 5, 3, 3, 5, 6, 7, 3, 7, 2, 3, 7, 7, 7, 7, 2, 2, 2, 5, 7, 7, 2, 3, 3, 7, 5, 7, 2, 3, 3, 7, 5, 3],[316.000000,666.000000,33125.000000]
