0, 50, [168.0, 540.0, 15000.0], [252.0, 603.0, 29375.0], 600.0, 7755.77333333, 10615.8440193
1, 50, [228.0, 590.0, 28125.0], [256.0, 603.0, 24375.0], 609.5, 8265.40666667, 11300.2130523
2, 50, [256.0, 612.0, 22500.0], [236.0, 631.0, 24375.0], 617.0, 8236.06666667, 11256.0289455
3, 50, [246.0, 613.0, 30000.0], [280.0, 612.0, 23750.0], 621.5, 8496.6, 11623.5202207
4, 50, [276.0, 624.0, 20625.0], [248.0, 623.0, 31875.0], 621.0, 8636.58666667, 11872.9521929
5, 50, [270.0, 625.0, 25000.0], [248.0, 623.0, 31875.0], 618.0, 8705.03333333, 12020.1463565
6, 50, [244.0, 585.0, 31250.0], [318.0, 635.0, 20000.0], 618.5, 8757.18, 12132.5825517
7, 50, [286.0, 614.0, 24375.0], [318.0, 635.0, 20000.0], 623.5, 8964.74, 12426.8969232
8, 50, [264.0, 595.0, 31875.0], [318.0, 635.0, 20000.0], 628.0, 9265.92, 12822.3186039
9, 50, [314.0, 624.0, 21250.0], [318.0, 635.0, 20000.0], 630.0, 9354.57333333, 12962.4408393
10, 50, [248.0, 645.0, 15625.0], [292.0, 646.0, 28750.0], 631.5, 9358.08666667, 12949.3631287
