0, 10, [168.0, 540.0, 15000.0], [276.0, 594.0, 27500.0], 594.5, 7210.46666667, 9870.5276986
1, 10, [222.0, 613.0, 21875.0], [276.0, 594.0, 27500.0], 611.0, 7782.26666667, 10616.2162215
2, 10, [242.0, 612.0, 21875.0], [276.0, 594.0, 27500.0], 612.0, 8077.23333333, 11114.0646141
